epoch,accuracy,loss,lr,val_accuracy,val_loss
0,0.26346656680107117,4.298671722412109,1e-04,0.3302176296710968,4.918363094329834
1,0.3205097019672394,3.484071969985962,1e-04,0.3909040093421936,3.1082489490509033
2,0.36407750844955444,2.9527220726013184,1e-04,0.4315011203289032,2.6201603412628174
3,0.3898760676383972,2.5442771911621094,1e-04,0.4479631781578064,2.2584028244018555
4,0.4123581647872925,2.2442378997802734,1e-04,0.4659598171710968,1.9939239025115967
5,0.43585267663002014,2.0062785148620605,1e-04,0.4920479953289032,1.7793636322021484
6,0.4577762186527252,1.824341893196106,1e-04,0.5076729655265808,1.6390695571899414
7,0.47753533720970154,1.6818927526474,1e-04,0.5217633843421936,1.5201456546783447
8,0.4940129220485687,1.5755163431167603,1e-04,0.5147879719734192,1.4750702381134033
9,0.5100366473197937,1.4877946376800537,1e-04,0.5422711968421936,1.38580322265625
10,0.5256415009498596,1.4194087982177734,1e-04,0.5569196343421936,1.3110237121582031
11,0.5404782891273499,1.3596850633621216,1e-04,0.5698939561843872,1.271746277809143
12,0.553115725517273,1.308516263961792,1e-04,0.5675223469734192,1.240870475769043
13,0.561703622341156,1.274153709411621,1e-04,0.5701729655265808,1.2488138675689697
14,0.5727701187133789,1.2376388311386108,1e-04,0.5764508843421936,1.2148044109344482
15,0.5802409052848816,1.2080763578414917,1e-04,0.5816127061843872,1.2150242328643799
16,0.5931227207183838,1.1790862083435059,1e-04,0.5968192219734192,1.1853892803192139
17,0.5998603701591492,1.1511329412460327,1e-04,0.5950055718421936,1.1679325103759766
18,0.6163379549980164,1.1189764738082886,1e-04,0.6057477593421936,1.1419963836669922
19,0.6210159063339233,1.0967339277267456,1e-04,0.611328125,1.1579993963241577
20,0.6330947875976562,1.0715405941009521,1e-04,0.6184430718421936,1.1128771305084229
21,0.6412288546562195,1.0497171878814697,1e-04,0.6268135905265808,1.085949182510376
22,0.6477221250534058,1.0247581005096436,1e-04,0.6157923936843872,1.1295959949493408
23,0.6574271321296692,1.0093212127685547,1e-04,0.6304408311843872,1.1180166006088257
24,0.6681095957756042,0.9784955382347107,1e-04,0.6284877061843872,1.109725832939148
25,0.6743585467338562,0.9637221097946167,1e-04,0.6356026530265808,1.1064045429229736
26,0.6790713667869568,0.9468116164207458,1e-04,0.6256975531578064,1.1497526168823242
27,0.6874847412109375,0.9279607534408569,1e-04,0.6378348469734192,1.0911766290664673
28,0.7167394161224365,0.8595736026763916,2e-05,0.646484375,1.0728026628494263
29,0.7241403460502625,0.835871160030365,2e-05,0.6477399468421936,1.0770715475082397
30,0.7343689799308777,0.808092474937439,2e-05,0.6505301594734192,1.08002769947052
31,0.734089732170105,0.8035683035850525,2e-05,0.6496930718421936,1.0818650722503662
32,0.7382091283798218,0.790619969367981,2e-05,0.6534598469734192,1.07759690284729
33,0.7403036952018738,0.7901031970977783,2e-05,0.6494140625,1.0875661373138428
34,0.7458544373512268,0.7685542702674866,2e-05,0.6519252061843872,1.0869011878967285
35,0.7514051198959351,0.761205792427063,4e-06,0.6516461968421936,1.0833176374435425
36,0.7544423341751099,0.7498503923416138,4e-06,0.6547154188156128,1.0784941911697388
37,0.7559434175491333,0.7487059235572815,4e-06,0.6551339030265808,1.0803368091583252
38,0.7609356045722961,0.7406013011932373,4e-06,0.6535993218421936,1.0863330364227295
39,0.7576540112495422,0.7431970238685608,4e-06,0.6538783311843872,1.080257773399353
40,0.761389434337616,0.739569365978241,4e-06,0.6541573405265808,1.0870068073272705
41,0.7598533630371094,0.7411060333251953,8e-07,0.6547154188156128,1.0812302827835083
42,0.7602723240852356,0.740429699420929,8e-07,0.6558314561843872,1.08063542842865
43,0.761389434337616,0.7369300127029419,8e-07,0.6554129719734192,1.0787336826324463
44,0.7592598795890808,0.7404811382293701,8e-07,0.6570870280265808,1.079343557357788
45,0.7637633085250854,0.72855144739151,8e-07,0.6563895344734192,1.080369472503662
46,0.7592948079109192,0.7340689301490784,8e-07,0.6569475531578064,1.0802992582321167
47,0.7613545060157776,0.7365013957023621,1.6e-07,0.6572265625,1.0811753273010254
48,0.7597137093544006,0.7334452867507935,1.6e-07,0.6568080186843872,1.0819895267486572
49,0.7632745504379272,0.7279960513114929,1.6e-07,0.6572265625,1.0805834531784058
50,0.7600977420806885,0.7335627675056458,1.6e-07,0.6573660969734192,1.0814918279647827
51,0.7637982368469238,0.7296056151390076,1.6e-07,0.6566685438156128,1.081691861152649
52,0.7609006762504578,0.7345882654190063,1.6e-07,0.6565290093421936,1.0814236402511597
53,0.765369176864624,0.7310404181480408,3.2e-08,0.6565290093421936,1.0800472497940063
54,0.7624367475509644,0.7291761636734009,3.2e-08,0.6566685438156128,1.0805667638778687
55,0.763484001159668,0.7320476174354553,3.2e-08,0.6566685438156128,1.0821644067764282
56,0.7631000280380249,0.7338952422142029,3.2e-08,0.6565290093421936,1.0803560018539429
57,0.7605166435241699,0.7279775738716125,3.2e-08,0.65625,1.0818893909454346
58,0.7588409781455994,0.7382502555847168,3.2e-08,0.6566685438156128,1.080570101737976
59,0.7612148523330688,0.7336596846580505,6.3999996e-09,0.6566685438156128,1.0825005769729614
